player_name,ast,gp,pts,ts_pct,ast_pct,usg_pct,net_rating,reb,height,weight,position_ratings
Larry Stewart,0.7,70,4.3,0.512,0.079,0.161,5.8,2.4,203.2,104.32616,"{'point guard': 14.56, 'shooting guard': 3.5423999999999998, 'small forward': 0.1364, 'forward': 4.4399999999999995, 'center': 153.76308}"
Priest Lauderdale,0.3,35,3.2,0.56,0.107,0.284,-4.0,1.2,223.52,155.582056,"{'point guard': 7.24, 'shooting guard': 2.6720000000000006, 'small forward': 0.23089999999999997, 'forward': -1.92, 'center': 189.551028}"
Detlef Schrempf,4.4,61,16.8,0.5920000000000001,0.2,0.211,12.2,6.5,208.28,106.59412,"{'point guard': 15.720000000000002, 'shooting guard': 13.5584, 'small forward': 0.2077, 'forward': 9.92, 'center': 157.43706}"
Steve Scheffler,0.0,7,1.6,0.799,0.0,0.186,-19.9,0.4,205.74,113.398,"{'point guard': 1.4000000000000001, 'shooting guard': 1.4398000000000002, 'small forward': 0.13019999999999998, 'forward': -11.78, 'center': 159.56900000000002}"
Loren Meyer,0.4,54,4.9,0.489,0.046,0.215,-6.7,2.7,208.28,117.93392,"{'point guard': 11.120000000000001, 'shooting guard': 4.0178, 'small forward': 0.1643, 'forward': -2.9399999999999995, 'center': 163.10696000000002}"
Gaylon Nickerson,0.3,4,3.8,0.497,0.043,0.174,8.9,1.3,190.5,86.18248,"{'point guard': 1.04, 'shooting guard': 3.1394, 'small forward': 0.1347, 'forward': 5.859999999999999, 'center': 138.34124}"
Rodney Rogers,2.7,81,13.2,0.53,0.152,0.223,-3.5,5.1,200.66,115.66596,"{'point guard': 18.36, 'shooting guard': 10.666, 'small forward': 0.2017, 'forward': -0.06000000000000005, 'center': 158.16298}"
Martin Lewis,0.4,9,1.6,0.47,0.125,0.135,-3.5,0.7,198.12,102.0582,"{'point guard': 2.12, 'shooting guard': 1.3740000000000003, 'small forward': 0.132, 'forward': -1.82, 'center': 150.0891}"
Kenny Smith,2.4,48,6.3,0.58,0.262,0.1939999999999999,-14.2,0.9,190.5,77.11064,"{'point guard': 11.520000000000001, 'shooting guard': 5.156, 'small forward': 0.21439999999999992, 'forward': -8.16, 'center': 133.80532}"
Sedale Threatt,1.9,21,3.3,0.451,0.185,0.122,-3.5,1.1,187.96,83.91452,"{'point guard': 5.720000000000001, 'shooting guard': 2.7302, 'small forward': 0.1409, 'forward': -1.6600000000000001, 'center': 135.93726}"
Jimmy Carruth,0.0,4,1.3,0.727,0.0,0.103,-17.7,1.0,208.28,120.20188,"{'point guard': 0.8, 'shooting guard': 1.1854, 'small forward': 0.0721, 'forward': -10.219999999999999, 'center': 164.24094}"
A.C. Green,0.8,83,7.2,0.523,0.045,0.119,-8.0,7.9,205.74,102.0582,"{'point guard': 17.240000000000002, 'shooting guard': 5.8646, 'small forward': 0.09679999999999998, 'forward': -1.6399999999999997, 'center': 153.8991}"
